sentence	obj-1	obj-2	aspect	t5_few
What is the difference between red herring and non-sequitur ?	red herring	non-sequitur	-	'brains female', 'brains Objects:'red herring', 'non-sequitur' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between red herring and non-sequitur?'?','red herring'?
How a drink that has a value of 0 for everything isn't practically as good for you as water ?	drink that has a value of 0 for everything	water	good for you	'brains female', 'brains Objects: 'water', 'water' Aspect: water What are the objects and the aspect of comparison in the sentence 'How is a drink that has a value of 0 for everything isn't practically as good for you as water?'? Objects: 'water', 'water' Aspect: water???
do we bury the dead in a horizontal position , rather than vertically ?	horizontal position	vertically	bury the dead	'brains female', 'brains Objects: 'do we bury the dead in a horizontal position, rather than vertically?' Aspect: horizontal What are the objects and the aspect of comparison in the sentence 'Why do we bury the dead in a horizontal position, rather than vertically?'?
why do saltwater fish generally grow bigger and show more colors than freshwater fish ?	saltwater fish	freshwater fish	grow bigger and show	'brains female', 'brains Objects:'saltwater fish', 'freshwater fish' Aspect: colors What are the objects and the aspect of comparison in the sentence 'Why do some fish have more colors than others?' Objects: 'why do some fish have more colors than others?'
wouldn't light fired from a moving object not be faster than light fired from an object at rest relative to the object at rest ?	light fired from a moving object	light fired from an object at rest	faster	'brains female', 'brains male' Aspect: different from Objects:'moving object', 'light fired from object at rest' Aspect: light fired from moving object relative to object at rest?', 'light fired from moving object' Aspect: light fired relative to object at rest?
Why is the second day of an injury general worse than the first day ?	second day injury	injury first day	worse	'brains female', 'brains Objects:'second day', 'first day' Aspect: general What are the objects and the aspect of comparison in the sentence 'Why is the second day of an injury general worse than the first day?'? Objects:'second day', 'first day' Aspect: worse
Why do advertisements load faster than the video on YouTube ?	advertisements	video	load	'brains female', 'brains Objects: 'advertisers', 'youtube' Aspect: YouTube Objects: 'youtube', 'video' Aspect: YouTube Objects: 'youtube', 'video' Aspect: YouTube What are the objects and the aspect of' and and and? ?
Why are phone screens harder to see in bright daylight than in the dark ?	phone screens bright daylight	phone screens in the dark	harder to see	'brains female', 'brains Objects: 'light', 'dark' Aspect: dark What are the objects and the aspect of comparison in the sentence 'Why are phone screens harder to see in bright daylight than in the dark?'? Objects: 'light', 'dark' Aspect: daylight,   '' better than
is the difference between a bachelor of science and a bachelor of arts ?	bachelor of science	bachelor of arts	-	'brains female', 'brains Objects: 'is the difference between a bachelor of science and a bachelor of arts?', 'is the difference between a bachelor of science and a bachelor of arts?' Aspect: difference What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?'
What is the difference between suicide inhibitors and irreversible inhibitors ?	suicide inhibitors	irreversible inhibitors	-	'brains female', 'brains Objects:'suicide inhibitors', 'irreversible inhibitors' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What are the differences between suicide inhibitors and irreversible inhibitors?'?', 'irreversible inhibitors'? Aspect: difference Between suicide inhibitors and irreversible
Why is it windier at night than during the day ?	night	day	windier	'brains female', 'brains Objects: 'wind', 'day' Aspect: windier What are the objects and the aspect of comparison in the sentence 'Why is it windier at night than during the day?'? Objects: 'wind', 'wind' Aspect: windier
When lifting weights . What 's the difference between doing 1 - 5 reps with heavy weight and 8 - 12 reps with medium weights ?	1 - 5 reps with heavy weight	8 - 12 reps with medium weights ?	-	'brains female', 'brains male' Aspect: different Objects: 'light weight','medium weight' Aspect: reps Objects: '5 reps' Aspect: difference between heavy weight and medium weight Objects: '5 reps','medium weight' Aspect:' and the aspect of and and?
Why is a brush of wind so much colder to our skin when it ’s wet rather than dry ?	brush of wind wet	brush of wind dry	-	'brains female', 'brains Objects: 'wind', 'dry' Aspect: colder What are the objects and the aspect of comparison in the sentence 'Why is it that a brush of wind is so much colder to our skin when it is wet?' Objects: 'wet', 'dry' Aspect: colder What are the objects and the aspect of
Why does a red laser pointer show up on lighter surfaces better than dark ones ?	lighter surfaces	surfaces dark	-	'brains female', 'brains Objects:'red laser pointer', 'dark surfaces' Aspect: light vs dark What are the objects and the aspect of comparison in the sentence 'Why does a red laser pointer show up on lighter surfaces better than dark ones?', 'Why does a red laser pointer on lighter surfaces? '' 
Is making a smoothie out of my daily vegetables significantly worse than eating them whole ?	making a smoothie vegetables	vegetables eating them whole	worse	'brains female', 'brains' Objects:'significantly worse', 'eating them whole' Aspect: eating' Objects:'significantly worse', 'eating them' Objects: 'bad', 'bad' Aspect: eating whole vegetables' and the aspect of and and? ? 
Why is diet coke said to be worse for your body than normal coke ?	diet coke	normal coke	worse	'brains female', 'brains Objects: 'diet coke', 'normal coke' Aspect: bad for your body What are the objects and the aspect of comparison in the sentence 'Why is diet coke said to be worse for your body than normal coke?'? Objects: 'diet coke', 'normal coke' Aspect: bad for your body
do females on average , live longer than men ?	females	men	live	'brains female', 'brains Objects: 'yes', 'no' Aspect: live longer than men What are the objects and the aspect of comparison in the sentence 'Do' Objects: 'yes','men' Aspect: live longer than men What are the objects and the aspect of comparison' and and and? ?
Why do people traveling at high speeds experience time slower than those traveling at slower speeds ?	people high speeds	people slower speeds	time	'brains female', 'brains Objects: 'high speeds', 'high speed' Aspect: time slower What are the objects and the aspect of comparison in the sentence 'Why do people traveling at high speeds experience time slower than those traveling at slower speeds?'? Objects: 'high speeds', 'high speed A   '' better than
Would snow put out a fire faster or slower than rain ?	snow	rain	put out a fire	'brains female', 'brains Objects:'snow', 'rain' Aspect: snow Put out a fire faster than rain What are the objects and the aspect of comparison in the sentence 'Does snow put out a fire faster than rain?' Objects:'snow', 'rain' Aspect: faster
Why are more men than women likely to live at home with parents ?	men	women	live at home with parents	'brains female', 'brains Objects:'more men than women','more women' Aspect: men Aspect: men Aspect: men Aspect: men Aspect: men Aspect: men Aspect: men Aspect: men Aspect: men Aspect: men Aspect: men Aspect-? '''? '
"What is the difference between "" Nautical Miles "" and "" Statute Miles "" , and why don't we use just one uniform measurement ?"	Nautical Miles	Statute Miles	-	' Objects: 'Nautical Miles', 'Statue Miles' Aspect: nautical Miles What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?' Objects: 'literal dreams','symbolic dreams' Aspect: difference Between literal   '' 
Why is porn more censored than violence ?	porn	violence	censored	'brains female', 'brains Objects: 'censorship', 'violence' Aspect: censorship What are the objects and the aspect of comparison in the sentence 'Why is porn more censored than violence?'? Objects: 'censorship', 'violence' Aspect: violence What are the objects and the aspect of comparison in the sentence 'Why
why do digital copies of movies / video games / music cost just as much ( sometimes more than ) as purchasing a hard disc copy ?	digital copies	hard disc copy	cost	' Aspect: - What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as a medicine one?'? Aspect: efficient What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits rather than a speed range?'? Aspect: cost   ',''a 
